"Group","Acer rubrum","Acer saccharum","Carya cordiformis","Carya ovata","Celtis occidentalis","Cercis canadensis","Cornus florida","Fagus grandifolia","Fraxinus americana","Fraxinus pennsylvanica","Hamamelis virginiana","Juniperus virginiana","Liriodendron tulipifera","Paulownia tomentosa","Prunus serotina","Quercus alba","Quercus coccinea","Quercus prinus","Quercus rubra","Quercus shumardii","Quercus velutina","Rhus typhina","Sassafras albidum","Tilia americana","Ulmus americana","Ulmus rubra"
"812",0,19,0,0,0,0,0,2,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"813",0,15,0,0,0,0,0,3,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
"814",0,10,0,0,1,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4
"815",0,9,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2
"816",0,10,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3
"817",0,17,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0
"818",0,18,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"819",0,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"820",0,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
"821",0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3
"822",0,15,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
"823",0,11,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,2,3,0,0,0,0,0,0,0
"824",0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0
"900",3,12,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0
"901",0,14,0,0,0,0,0,23,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"902",5,2,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0
"903",5,5,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,8,1,0,1,0,3,0,0,0
"904",5,5,0,0,0,0,1,26,0,0,0,0,0,0,0,0,2,4,1,0,0,0,0,0,0,0
"905",3,9,0,0,0,0,1,36,0,0,0,0,0,0,0,1,0,6,0,0,1,0,1,0,0,0
"906",3,12,0,0,0,0,1,21,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0
"907",0,16,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
"908",0,14,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
"909",2,9,0,0,0,0,1,8,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0
"910",1,19,0,0,0,0,0,4,0,2,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0
"911",0,28,0,0,0,0,1,11,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1
